title,authors,average_rating,number_of_pages,number_of_ratings,publisher
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,260,9,Wiley
ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,391,22,Wiley
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,864,17,Wiley
Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,873,166,O'Reilly Media
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,240,50,Citadel
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,206,13,Citadel
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,514,64,O'Reilly Media
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,838,16643,Penguin Classics
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,960,109420,Signet
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,837,2904,Penguin Books
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,80,16,Cliffs Notes
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,803,9564,Barnes & Noble Classics
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,752,474,Dover Publications
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,803,303,Barnes & Noble
Dinner with Anna Karenina,Gloria Goldreich,2.99,360,411,Mira Books
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,128,1204,Cambridge University Press
Untouchable,Mulk Raj Anand/E.M. Forster,3.71,160,3429,Penguin Books
The Untouchable,John Banville,3.95,367,2163,Vintage
